question|answer
Syphilitic|"Syphilitic ulcers may be met with in any part of the body, but are most frequent in the upper part of the leg (Fig.17), especially around the knee-joint in women, and over the ribs and sternum.On healing, they usually leave a depressed and adherent cicatrix.The  scorbutic ulcer  occurs in patients suffering from scurvy, and is characterised by its prominent granulations, which show a marked tendency to bleed, with the formation of clots, which dry and form a spongy crust on the surface.In  gouty  patients small ulcers which are exceedingly irritable and painful are liable to occur.Ulcers associated with Malignant Disease.Syphilitic lesions are liable to be mistaken for actinomycosis, all the more that in both diseases improvement follows the administration of iodides.When it affects the lower jaw, in its early stages, actinomycosis may closely simulate a periosteal sarcoma.The recognition of the fungus is the crucial point in diagnosis.Prognosis.Spontaneous cure rarely occurs.When the disease implicates internal organs, it is almost always fatal.Gummatous Infiltration of the Skin  (""Syphilitic Lupus"").This is a lesion, met with chiefly on the face and in the region of the external genitals, in which the skin becomes infiltrated with granulation tissue so that it is thickened, raised above the surface, and of a brownish-red colour.It appears as isolated nodules, which may fuse together; the epidermis becomes scaly and is shed, giving rise to superficial ulcers which are usually covered by crusted discharge.The disease tends to spread, creeping over the skin with a serpiginous, crescentic, or horse-shoe margin, while the central portion may heal and leave a scar.From the fact of its healing in the centre while it spreads at the margin, it may resemble tuberculous disease of the skin.It can usually be differentiated by observing that the infiltration is on a larger scale; the progress is much more rapid, involving in the course of months an area which in the case of tuberculosis would require as many years; the scars are sounder and are less liable to break down again; and the disease rapidly yields to anti-syphilitic treatment.Syphilitic.The inflammation associated with syphilis results in thickening of the tunica intima, whereby the lumen of the vessel becomes narrowed, or even obliterated  endarteritis obliterans .The middle coat usually escapes, but the tunica externa is generally thickened.These changes cause serious interference with the nutrition of the parts supplied by the affected arteries.In large trunks, by diminishing the elasticity of the vessel wall, they are liable to lead to the formation of aneurysm.Changes in the arterial walls closely resembling those of syphilitic arteritis are sometimes met with in  tuberculous  lesions.CHAPTER XV THE LYMPH VESSELS AND GLANDS

Anatomy and Physiology INJURIES OF LYMPH VESSELS  Wounds of     thoracic duct  DISEASES OF LYMPH VESSELS Lymphangitis:      Varieties  Lymphangiectasis Filarial     disease Lymphangioma DISEASES OF LYMPH     GLANDS Lymphadenitis:  Septic ;  Tuberculous ;      Syphilitic  Lymphadenoma Leucocythamia TUMOURS.Surgical Anatomy and Physiology.Lymph is essentially blood plasma, which has passed through the walls of capillaries.After bathing and nourishing the tissues, it is collected by lymph vessels, which return it to the blood stream by way of the thoracic duct.These lymph vessels take origin in the lymph spaces of the tissues and in the walls of serous cavities, and they usually run alongside blood vessels  perivascular lymph vessels .They have a structure similar to that of veins, but are more abundantly provided with valves.Syphilitic lymphangitis  is observed in cases of primary syphilis, in which the vessels of the dorsum of the penis can be felt as indurated cords.In addition to acting as channels for the conveyance of bacterial infection,  lymph vessels frequently convey the cells of malignant tumours , and especially cancer, from the seat of the primary disease to the nearest lymph glands, and they may themselves become the seat of cancerous growth forming nodular cords.The permeation of cancer by way of the lymphatics, described by Sampson Handley, has already been referred to.Lymphangiectasis  is a dilated or varicose condition of lymph vessels.It is met with as a congenital affection in the tongue and lips, or it may be acquired as the result of any condition which is attended with extensive obliteration or blocking of the main lymph trunks.An interesting type of lymphangiectasis is that which results from the presence of the  filaria Bancrofti  in the vessels, and is observed chiefly in the groin, spermatic cord, and scrotum of persons who have lived in the tropics.Syphilitic Disease of Glands.Enlargement of lymph glands is a prominent feature of acquired syphilis, especially in the form of the indolent or bullet-bubo which accompanies the primary lesion, and the general enlargement of glands that occurs in secondary syphilis.Gummatous disease in glands is extremely rare; the affected gland rapidly enlarges to the size of a walnut, and may then persist for a long period without further change; if it breaks down, the overlying skin is destroyed and the caseated tissue of the gumma exposed.Lymphadenoma.Hodgkin's Disease  (Pseudo-leukamia of German authors).This is a rare disease, the origin of which is as yet unknown, but analogy would suggest that it is due to infection with a slowly growing micro-organism.Syphilitic lesions progress more rapidly, and also lack the characteristic margin.The differentiation from squamous epithelioma is of considerable importance, as the latter affection spreads more rapidly, involves the lymph glands early, and is much more dangerous to life.Treatment.In rodent cancers of limited size say less than one inch in diameter free excision is the most rapid and certain method of treatment.The alternative is the application of radium or of the Röntgen rays, which, although requiring many exposures, results in cure with the minimum of disfigurement.If the cancer already covers an extensive area, or has invaded the cavity of the orbit or nose, radium or X-rays yield the best results.Syphilitic  affections of the nails assume various aspects.A primary chancre at the edge of the nail may be mistaken for a whitlow, especially if it is attended with much pain.Other forms of onychia occur during secondary syphilis simultaneously with the skin eruptions, and may prove obstinate and lead to shedding of the nails.They also occur in inherited syphilis.In addition to general treatment, an ointment containing 5 per cent.of oleate of mercury should be applied locally.Syphilitic contracture  is a condition which has been observed chiefly in the later secondary period; the biceps of the arm and the hamstrings in the thigh are the muscles more commonly affected.The striking feature is a gradually increasing difficulty of extending the limb at the elbow or knee, and progressive flexion of the joint.The affected muscle is larger and firmer than normal, and its electric excitability is diminished.In tertiary syphilis, individual muscles may become the seat of interstitial myositis or of gummata, and these affections readily yield to anti-syphilitic remedies.Tuberculous disease  in muscle, while usually due to extension from adjacent tissues, is sometimes the result of a primary infection through the blood-stream.Tuberculous nodules are found disseminated throughout the muscle; the surrounding tissues are indurated, and central caseation may take place and lead to abscess formation and sinuses.Syphilitic Affections of Tendon Sheaths.These closely resemble the syphilitic affections of the synovial membrane of joints.During the secondary period the lesion usually consists in effusion into the sheath; gummata are met with during the tertiary period.Arborescent lipoma has been found in the sheaths of tendons about the wrist and ankle, sometimes in a multiple and symmetrical form, unattended by symptoms and disappearing under anti-syphilitic treatment.Tumours of Tendon Sheaths.Innocent tumours, such as  lipoma ,  fibroma , and  myxoma , are rare.Syphilitic disease  is rarely recognised except in the form of bursal and peri-bursal gummata in front of the knee-joint.New growths  include the fibroma, the myxoma, the myeloma or giant-celled tumour, and various forms of sarcoma.Diseases of Individual Bursa.The  olecranon bursa  is frequently the seat of pyogenic infection and of traumatic or trade bursitis, the latter being known as ""miner's"" or ""student's elbow.""The  sub-deltoid  or  sub-acromial bursa , which usually presents a single cavity and does not normally communicate with the shoulder-joint, is indispensable in abduction and rotation of the humerus.When the arm is abducted, the fixed lower part or floor of the bursa is carried under the acromion, and the upper part or roof is rolled up in the same direction, hence tenderness over the inflamed bursa may disappear when the arm is abducted (Dawbarn's sign).DISEASES OF BONE Definition of terms Pyogenic diseases:      Acute osteomyelitis and periostitis ;  Chronic and relapsing     osteomyelitis ;  Abscess of bone  Tuberculous disease Syphilitic     disease Hydatids; Rickets; Osteomalacia Ostitis deformans of     Paget Osteomyelitis fibrosa Affections of bones in diseases of     the nervous system Fragilitas ossium Tumours and cysts of bone.Surgical Anatomy.During the period of growth, a long bone such as the tibia consists of a shaft or  diaphysis , and two extremities or  epiphyses .So long as growth continues there intervenes between the shaft and each of the epiphyses a disc of actively growing cartilage  the epiphysial cartilage ; and at the junction of this cartilage with the shaft is a zone of young, vascular, spongy bone known as the  metaphysis  or  epiphysial junction .The shaft is a cylinder of compact bone enclosing the medullary canal, which is filled with yellow marrow.The extremities, which include the ossifying junctions, consist of spongy bone, the spaces of which are filled with red marrow.SYPHILITIC DISEASE Syphilitic affections of bone may be met with at any period of the disease, but the graver forms occur in the tertiary stage of acquired and inherited syphilis.The virus is carried by the blood-stream to all parts of the skeleton, but the local development of the disease appears to be influenced by a predisposition on the part of individual bones.Syphilitic diseases of bone are much less common in practice than those due to pyogenic and tuberculous infectious, and they show a marked predilection for the tibia, sternum, and skull.They differ from tuberculous affections in the frequency with which they attack the shafts of bones rather than the articular ends, and in the comparative rarity of joint complications.Evanescent periostitis  is met with in acquired syphilis during the period of the early skin eruptions.The patient complains, especially at night, of pains over the frontal bone, ribs, sternum, tibia, or ulna.Syphilitic diseases of bone are much less common in practice than those due to pyogenic and tuberculous infectious, and they show a marked predilection for the tibia, sternum, and skull.They differ from tuberculous affections in the frequency with which they attack the shafts of bones rather than the articular ends, and in the comparative rarity of joint complications.Evanescent periostitis  is met with in acquired syphilis during the period of the early skin eruptions.The patient complains, especially at night, of pains over the frontal bone, ribs, sternum, tibia, or ulna.Localised tenderness is elicited on pressure, and there is slight swelling, which, however, rarely amounts to what may be described as a  periosteal node .In the later stages of acquired syphilis,  gummatous periostitis and osteomyelitis  occur, and are characterised by the formation in the periosteum and marrow of circumscribed gummata or of a diffuse gummatous infiltration.Syphilitic sequestra are heavier and denser than normal bone, because sclerosis usually precedes death of the bone.The bones especially affected by gummatous disease are: the skull, the septum of the nose, the nasal bones, palate, sternum, femur, tibia, and the bones of the forearm.In the bones of the skull , gummata may form in the peri-cranium, diploë, or dura mater.An isolated gumma forms a firm elastic swelling, shading off into the surroundings.In the macerated bone there is a depression or an actual perforation of the calvaria; multiple gummata tend to fuse with one another at their margins, giving the appearance of a combination of circles: these sometimes surround an area of bone and cut it off from its blood supply (Fig.130).Syphilitic disease of the tibia  may be taken as the type of the affection as it occurs  in the long bones .Gummatous disease in the periosteum may be localised and result in the formation of a well-defined node, or the whole shaft may become the seat of an irregular nodular enlargement (Fig.132).If the bone is macerated, it is found to be heavier and bulkier than normal; there is diffuse sclerosis with obliteration of the medullary canal, and the surface is uneven from heaping up of new bone hyperostosis (Fig.131).If a periosteal gumma breaks down and invades the skin, a syphilitic ulcer is formed with carious bone at the bottom.Epiphysitis or Syphilitic Perichondritis.The first of these terms is misleading, because the lesion involves the ossifying junction and the shaft of the bone, and the epiphysis only indirectly.The young bone is replaced by granulation tissue, so that large clear areas are seen with the X-rays.The symptoms are referred to the joint, because it is there that the muscles are inserted and drag on the perichondrium when movement occurs; swelling is most marked in the vicinity of the joint, and it may be added to by effusion into the synovial cavity.The baby, usually under six months, is noticed to be feverish and fretful and to cry when touched.The mother discovers that the pain is caused by moving a particular limb, usually the arm, as the humerus, radius, and ulna are the bones most commonly affected; the limb, moreover, hangs useless at the side as if paralysed, and the condition was formerly described as  syphilitic pseudo-paralysis .Syphilitic dactylitis  is met with chiefly in children.It may affect any of the fingers or toes, but is commonest in the first phalanx of the index-finger or of the thumb.Several fingers may be attacked at the same time or in succession.The lesion consists in a gummatous infiltration of the soft parts surrounding the phalanx, or a gummatous osteomyelitis, but there is practically no tendency to break down and discharge, or to the formation of a sequestrum as is so common in tuberculous dactylitis.The finger becomes the seat of a swelling, which is more evident on the dorsal aspect, and, according to the distribution and extent of the disease, it is acorn-shaped, fusiform, or cylindrical.It is firm and elastic, and usually painless.DISEASES: Errors of     development Bacterial diseases:  Pyogenic ;  Gonorrhœal ;      Tuberculous ;  Syphilitic ;  Acute rheumatism  Diseases     associated with certain constitutional conditions:  Gout ;  Chronic     articular rheumatism ;  Arthritis deformans ;      Hamophilia  Diseases associated with affections of the nervous     system:  Neuro-arthropathies ;  Charcot's disease  Hysterical or     mimetic affections of joints Tumours and cysts Loose bodies.Definition of Terms.The term  synovitis  is applied to any reaction which affects the synovial membrane of a joint.It is usually associated with effusion of fluid, and this may be serous, sero-fibrinous, or purulent.As the term synovitis merely refers to the tissue involved, it should always be used with an adjective such as gouty, gonorrhœal, or tuberculous which indicates its pathological nature.The terms  hydrops ,  hydrarthrosis , and  chronic serous synovitis  are synonymous, and are employed when a serous effusion into the joint is the prominent clinical feature.SYPHILITIC DISEASE Syphilitic affections of joints are comparatively rare.As in tuberculosis, the disease may be first located in the synovial membrane, or it may spread to the joint from one of the bones.In  acquired syphilis , at an early stage and before the skin eruptions appear, one of the large joints, such as the shoulder or knee, may be the seat of pain  arthralgia  which is worse at night.In the secondary stage, a  synovitis  with serous effusion is not uncommon, and may affect several joints.Syphilitic  hydrops  is met with almost exclusively in the knee; it is frequently bilateral, and is insidious in its onset and progress, the patient usually being able to go about.In the  tertiary stage  the joint lesions are persistent and destructive, and result from the formation of gummata, either in the deeper layers of the synovial membrane or in the adjacent bone or periosteum.Syphilitic  hydrops  is met with almost exclusively in the knee; it is frequently bilateral, and is insidious in its onset and progress, the patient usually being able to go about.In the  tertiary stage  the joint lesions are persistent and destructive, and result from the formation of gummata, either in the deeper layers of the synovial membrane or in the adjacent bone or periosteum.Peri-synovial  and  peri-bursal gummata  are met with in relation to the knee-joint of middle-aged adults, especially women.They are usually multiple, develop slowly, and are rarely sensitive or painful.One or more of the gummata may break down and give rise to tertiary ulcers.The co-existence of indolent swellings, ulcers, and depressed scars in the vicinity of the knee is characteristic of tertiary syphilis.Syphilitic osteo-arthritis  results from a gumma in the periosteum or marrow of one of the adjacent bones.There is gradual enlargement of one of the bones, the patient complains of pains, which are worst at night.The disease may extend to the synovial membrane and be attended with effusion into the joint, or it may erupt on the periosteal surface and invade the skin, forming one or more sinuses.The further progress is complicated by the occurrence of pyogenic infection leading to necrosis of bone, in the knee-joint, for example, the patella or one of the condyles of the femur or tibia, may furnish a sequestrum.In such cases, anti-syphilitic treatment must be supplemented by operation for the removal of the diseased tissues.In the knee, excision is rarely necessary; but in the elbow it may be called for to obtain a movable joint."
Conditions of Impaired Mobility of Joints|Conditions of Impaired Mobility of Joints.There are four conditions of impaired mobility in joints: rigidity, contracture, ankylosis, and locking.Rigidity  is the fixation of a joint by involuntary contraction of muscles, and is of value as a sign of disease in deep-seated joints, such as the hip.It disappears under anasthesia.Contracture  is the term applied when the fixation is due to permanent shortening of the soft parts around a joint muscles, tendons, ligaments, fascia, or skin.As the structures on the flexor aspect are more liable to undergo such shortening, contracture is nearly always associated with flexion.
Contracture|"DISEASES OF MUSCLE AND OF TENDONS:  Atrophy ;  ""Muscular     rheumatism""   Fibrositis ;  Contracture ;  Myositis ;      Calcification and Ossification ;  Tumours .DISEASES OF TENDON     SHEATHS:  Teno-synovitis .INJURIES  Contusion of Muscle.Contusion of muscle, which consists in bruising of its fibres and blood vessels, may be due to violence acting from without, as in a blow, a kick, or a fall; or from within, as by the displacement of bone in a fracture or dislocation.The symptoms are those common to all contusions, and the patient complains of severe pain on attempting to use the muscle, and maintains an attitude which relaxes it.If the sheath of the muscle also is torn, there is subcutaneous ecchymosis, and the accumulation of blood may result in the formation of a hamatoma.Contracture of Muscles.Permanent shortening of muscles results from the prolonged approximation of their points of attachment, or from structural changes in their substance produced by injury or by disease.It is a frequent accompaniment and sometimes a cause of deformities, in the treatment of which lengthening of the shortened muscles or their tendons may be an essential step.Myositis.Ischamic Myositis.Volkmann was the first to describe a form of myositis followed by contracture, resulting from interference with the arterial blood supply.Contracture  is the term applied when the fixation is due to permanent shortening of the soft parts around a joint muscles, tendons, ligaments, fascia, or skin.As the structures on the flexor aspect are more liable to undergo such shortening, contracture is nearly always associated with flexion.Contracture may result from disease of the joint, or from conditions outside it for example, disease in one of the adjacent bones, or lesions of the nerves.Ankylosis  is the term applied when impaired mobility results from changes involving the articular surfaces.It is frequently combined with contracture.Three anatomical varieties of ankylosis are recognised (a) The  fibrous , in which there are adhesions between the opposing surfaces, which may be in the form of loose isolated bands of fibrous tissue, or may bind the bones so closely together as to obliterate the cavity of the joint.Contracture may result from disease of the joint, or from conditions outside it for example, disease in one of the adjacent bones, or lesions of the nerves.Ankylosis  is the term applied when impaired mobility results from changes involving the articular surfaces.It is frequently combined with contracture.Three anatomical varieties of ankylosis are recognised (a) The  fibrous , in which there are adhesions between the opposing surfaces, which may be in the form of loose isolated bands of fibrous tissue, or may bind the bones so closely together as to obliterate the cavity of the joint.The resulting stiffness, therefore, varies from a mere restriction of the normal range of movement, up to a close union of the bones which prevents movement.Fibrous ankylosis may follow upon injury, especially dislocation or fracture implicating a joint, or it may result from any form of arthritis."
skiagraphy|The nature and extent of ankylosis may be learned by skiagraphy; in osseous ankylosis the shadow of the two bones is a continuous one.In fibrous as contrasted with osseous ankylosis mobility may be elicited, although only to a limited extent; while in osseous ankylosis the joint is rigidly fixed, and attempts to move it are painless.The  treatment  is influenced by the nature of the original lesion, the variety of the ankylosis, and the attitude of the joint.When there is restriction of movement due to fibrous adhesions, these may be elongated or ruptured.Elongation of the adhesions may be effected by manipulations, exercises, and the use of special forms of apparatus such as the application of weights to the limb.It may be necessary to administer an anasthetic before rupturing strong fibrous adhesions, and this procedure must be carried out with caution, in view of such risks as fracture of the bone which is often rarefied or separation of an epiphysis.
Arthroplasty|Arthroplasty.Murphy of Chicago devised this operation for restoring movement to an ankylosed joint.It consists in transplanting between the bones a flap of fat-bearing tissue, from which a bursal cavity lined with endothelium and containing a fluid rich in mucin is ultimately formed.Arthroplasty is most successful in ankylosis following upon injury; when the ankylosis results from some infective condition such as tuberculosis or gonorrhœa, it is liable to result in failure either because of a fresh outbreak of the infection or because the ankylosis recurs.When arthroplasty is impracticable, and a movable joint is desired for example at the elbow a considerable amount of bone, and it may be also of periosteum and capsular ligament, is resected to allow of the formation of a false joint.When bony ankylosis has occurred with the joint in an undesirable attitude for example flexion at the hip or knee it can sometimes be remedied by osteotomy or by a wedge-shaped resection of the bone, with or without such additional division of the contracted soft parts as will permit of the limb being placed in the attitude desired.Arthroplasty is most successful in ankylosis following upon injury; when the ankylosis results from some infective condition such as tuberculosis or gonorrhœa, it is liable to result in failure either because of a fresh outbreak of the infection or because the ankylosis recurs.When arthroplasty is impracticable, and a movable joint is desired for example at the elbow a considerable amount of bone, and it may be also of periosteum and capsular ligament, is resected to allow of the formation of a false joint.When bony ankylosis has occurred with the joint in an undesirable attitude for example flexion at the hip or knee it can sometimes be remedied by osteotomy or by a wedge-shaped resection of the bone, with or without such additional division of the contracted soft parts as will permit of the limb being placed in the attitude desired.Bony ankylosis of the joints of a finger, whether the result of injury or disease, is difficult to remedy by any operative procedure, for while it is possible to restore mobility, the new joint is apt to be flail-like.Locking.A joint is said to lock when its movements are abruptly arrested by the coming together of bony outgrowths around the joint.
Extremities|The deformities at the knee (genu valgum, genu varum, and genu recurvatum), and at the hip (coxa vara), will be described in the volume dealing with the Extremities.The majority of cases seen in surgical practice suffer from the deformities resulting from rickets rather than from the active disease.The examination of a large series of children at different ages shows that the deformities become less and less frequent with each year.Those who recover may ultimately show no trace of rickets, and this is especially true of children who grow at the average rate; in those, however, in whom growth is retarded, especially from the fifth to the seventh year, the deformities are apt to be permanent.It may be noted that the scoliosis due to rickets has little tendency towards recovery.Treatment.The more important of these are described along with the surgery of the Extremities.DISEASES OF JOINTS  Bacterial Diseases.In most bacterial diseases the organisms are carried to the joint in the blood-stream, and they lodge either in the synovial membrane or in one of the bones, whence the disease subsequently spreads to the other structures of the joint.Organisms may also be introduced through accidental wounds.It has been shown experimentally that joints are among the most susceptible parts of the body to infection, and this would appear to be due to the viscid character of the synovial fluid, which protects organisms from bactericidal agents in the tissues and fluids.PYOGENIC DISEASES The commoner pyogenic diseases are the result of infection of one or other of the joint structures with  staphylococci  or  streptococci , which may be demonstrated in the exudate in the joint and in the substance of the synovial membrane.The secondary changes in joints which are the seat of paralytic contracture are considered with the surgery of the Extremities.In cases of  hysteria  and other  functional affections of the nervous system , an intermittent neuropathic hydrops has been observed especially in the knee.Without apparent cause, the joint fills with fluid and its movements become restricted, and after from two to eight days the swelling subsides and the joint returns to normal.A remarkable feature of the condition is that the effusion into the joint recurs at regular intervals, it may be over a period of years.Psychic conditions have been known to induce attacks, and sometimes to abort them or even to cause their disappearance.Hence it has been recommended that treatment by suggestion should be employed along with tonic doses of quinine and arsenic.
the pus perforates the joint capsule|If the pus perforates the joint capsule, there are signs of abscess or of diffuse suppuration in the cellular tissue.The final disorganisation of the joint is indicated by abnormal mobility and grating of the articular surfaces, or by spontaneous displacement of the bones, and this may amount to dislocation.In the acute arthritis of infants, the epiphysis concerned may be separated and displaced.When the  joint is infected through an external wound , the anatomical features are similar to those observed when the infection has reached the joint by the blood-stream, but the destructive changes tend to be more severe and are more likely to result in disorganisation.The  terminations  vary with the gravity of the infection and with the stage at which treatment is instituted.In the milder forms recovery is the rule, with more or less complete restoration of function.
Pneumococcal|Pneumococcal affections of joints , the result of infection with the pneumococcus of Fraenkel, are being met with in increasing numbers.The local lesion varies from a  synovitis  with infiltration of the synovial membrane and effusion of serum or pus, to an  acute arthritis  with erosion of cartilage, caries of the articular surfaces, and disorganisation of the joint.The knee is most frequently affected, but several joints may suffer at the same time.In most cases the joint affection makes its appearance a few days after the commencement of a pneumonia, but in a number of instances, especially among children, the lung is not specially involved, and the condition is an indication of a generalised pneumococcal infection, which may manifest itself by endocarditis, empyema, meningitis, or peritonitis, and frequently has a fatal termination.The differential diagnosis from other forms of pyogenic infection is established by bacteriological examination of the fluid withdrawn from the joint.The treatment is carried out on the same lines as in other pyogenic infections, considerable reliance being placed on the use of autogenous vaccines.
diplococcus|"The joint lesions which accompany  acute rheumatism  or ""rheumatic fever"" are believed to be due to a diplococcus.In the course of a general illness in which there is moderate pyrexia and profuse sweating, some of the larger joints, and not infrequently the smaller ones also, become swollen and extremely sensitive, so that the sufferer lies in bed helpless, dreading the slightest movement.From day to day fresh joints are attacked, while those first affected subside, often with great rapidity.Affections of the heart-valves and of the pericardium are commonly present.On recovery from the acute illness, it may be found that the joints have entirely recovered, but in a small proportion of cases certain of them remain stiff and pass into the crippled condition described under chronic rheumatism.There is no call for operative interference."
Gonococcal Affections of Joints|Gonococcal Affections of Joints.These include all forms of joint lesion occurring in association with gonorrhœal urethritis, vulvo-vaginitis, or gonorrhœal ophthalmia.They may develop at any stage of the urethritis, but are most frequently met with from the eighteenth to the twenty-second day after the primary infection, when the organisms have reached the posterior urethra; they have been observed, however, after the discharge has ceased.There is no connection between the severity of the gonorrhœa and the incidence of joint disease.In women, the gonorrhœal nature of the discharge must be established by bacteriological examination.As a complication of ophthalmia, the joint lesions are met with in infants, and occur more commonly towards the end of the second or during the third week.
gonorrhœal ophthalmia|These include all forms of joint lesion occurring in association with gonorrhœal urethritis, vulvo-vaginitis, or gonorrhœal ophthalmia.They may develop at any stage of the urethritis, but are most frequently met with from the eighteenth to the twenty-second day after the primary infection, when the organisms have reached the posterior urethra; they have been observed, however, after the discharge has ceased.There is no connection between the severity of the gonorrhœa and the incidence of joint disease.In women, the gonorrhœal nature of the discharge must be established by bacteriological examination.As a complication of ophthalmia, the joint lesions are met with in infants, and occur more commonly towards the end of the second or during the third week.The gonococcus is carried to the joint in the blood-stream and is first deposited in the synovial membrane, in the tissues of which it can usually be found; it may be impossible to find it in the exudate within the joint.
Detoxicated|Detoxicated vaccines should be given from the first, and in afebrile cases the injection of a foreign protein, such as anti-typhoid vaccine, is beneficial (Harrison).Murphy has found benefit from the introduction into the joint, in the early stages, of from 5 to 15 c.c.of a 2 per cent.solution of formalin in glycerin.This may be repeated within a week, the patient being kept in bed with light weight extension.In the chronic hydrops the fluid is withdrawn, and about an ounce of a 1 per cent.
The Contents of Tuberculous Joints|The Contents of Tuberculous Joints.In a large proportion of cases of synovial tuberculosis the joint is entirely filled up by the diffuse thickening of the synovial membrane.In a small number there is an abundant serous exudate, and with this there may be a considerable formation of fibrin, covering the surface of the membrane and floating in the fluid as flakes or masses; under the influence of movement it may assume the shape of melon-seed bodies.More rarely the joint contains pus, and the surface of the synovial membrane resembles the wall of a cold abscess.Ulceration and Necrosis of Cartilage.The synovial tissue covering the cartilage causes pitting and perforation of the cartilage and makes its way through it, and often spreads widely between it and the subjacent bone; the cartilage may be detached in portions of considerable size.
Terminations|Terminations of Contusions.The usual termination is a complete return to the normal, some of the extravasated blood being organised, but most of it being reabsorbed.During the process characteristic alterations in the colour of the effused blood take place as a result of changes in the blood pigment.In from twenty-four to forty-eight hours the margins of the blue area become of a violet hue, and as time goes on the discoloured area increases in size, and becomes successively green, yellow, and lemon-coloured at its margins, the central part being the last to change.The rate at which this play of colours proceeds is so variable, and depends on so many circumstances, that no time-limits can be laid down.During the disintegration of the effused blood the adjacent lymph glands may become enlarged, and on dissection may be found to be pigmented.Terminations and Sequela.A natural process of cure may occur at any stage, the tuberculous tissue being replaced by scar tissue.Recovery is apt to be attended with impairment of movement due to adhesions, ankylosis, or contracture of the peri-articular structures.Caseous foci in the interior of the bones may become encapsulated, and a cure be thus effected, or they may be the cause of a relapse of the disease at a later date.Interference with growth is comparatively common, and may involve only the epiphysial junctions in the immediate vicinity of the joint affected, or those of all the bones of the limb.This is well seen in adults who have suffered from severe disease of the hip in childhood the entire limb, including the foot, being shorter and smaller than the corresponding parts of the opposite side.
Clinical Variations of Tuberculous Joint Disease|Clinical Variations of Tuberculous Joint Disease.The above description applies to tuberculous joint disease in general; it must be modified to include special manifestations or varieties.When the main incidence of the infection affects the synovial membrane, the clinical picture may assume the form of a  hydrops , or of an  empyema  in which the joint is filled with pus.More common than either of these is the well-known  white swelling  or  tumor albus  (Wiseman, 1676) which is the clinical manifestation of diffuse thickening of the synovial membrane along with mucoid degeneration of the peri-synovial cellular tissue.It is well seen in joints which are superficial such as the knee, ankle, elbow, and wrist.The swelling, which is the first and most prominent clinical feature, develops gradually and painlessly, obliterating the bony prominences by filling up the natural hollows.
Influence of Tuberculous Joint Disease|Influence of Tuberculous Joint Disease on the General Health.Experience shows that the early stages of tuberculous joint disease are compatible with the appearance of good health.As a rule, however, and especially if there is mixed infection, the health suffers, the appetite is impaired, the patient is easily tired, and there may be some loss of weight.Treatment.In addition to the general treatment of tuberculosis, local measures are employed.These may be described under two heads the conservative and the operative.
the General Health|Influence of Tuberculous Joint Disease on the General Health.Experience shows that the early stages of tuberculous joint disease are compatible with the appearance of good health.As a rule, however, and especially if there is mixed infection, the health suffers, the appetite is impaired, the patient is easily tired, and there may be some loss of weight.Treatment.In addition to the general treatment of tuberculosis, local measures are employed.These may be described under two heads the conservative and the operative.
Immobilisation|Immobilisation may be secured by bandages, splints, extension, or other apparatus.Extension  with weight and pulley is of value in securing rest, especially in disease of the hip or knee; it eliminates muscular spasm, relieves pain and startings at night, and prevents abnormal attitudes of the limb.If, when the patient first comes under observation, the limb is in a deformed attitude which does not readily yield to extension, the deformity should be corrected under an anasthetic.The induction of hyperamia  is often helpful, the rubber bandage or the hot-air chamber being employed for an hour or so morning and evening.Injection of Iodoform.This is carried out on the same lines as have been described for tuberculous abscess.
Operative Treatment|Operative Treatment.In aggravated cases, when the patient is suffering pain, when his occupation is interfered with by repeated attacks of phlebitis, or when there are large pouches on the veins, operative treatment is called for.The younger the patient the clearer is the indication to operate.It may be necessary to operate to enable a patient to enter one of the public services, even although no symptoms are present.The presence of an ulcer does not contra-indicate operation; the ulcer should be excised, and the raw surface covered with skin grafts, before dealing with the veins.The  operation of Trendelenburg  is especially appropriate to cases in which the trunk of the great saphena vein in the thigh is alone involved.Operative Treatment.This consists in the removal of the affected nerve or nerves, either by resection  neurectomy ; or by a combination of resection with twisting or tearing of the nerve from its central connections  avulsion .To prevent the regeneration of the nerve after these operations, the canal of exit through the bone should be obliterated; this is best accomplished by a silver screw-nail driven home by an ordinary screw-driver (Charles H. Mayo).When the neuralgia involves branches of two or of all three trunks, or when it has recurred after temporary relief following resection of individual branches, the  removal of the semilunar ganglion , along with the main trunks of the maxillary and mandibular divisions, should be considered.The operation is a difficult and serious one, but the results are satisfactory so far as the cure of the neuralgia is concerned.There is little or no disability from the unilateral paralysis of the muscles of mastication; but on account of the insensitiveness of the cornea, the eye must be protected from irritation, especially during the first month or two after the operation; this may be done by fixing a large watch-glass around the edge of the orbit with adhesive plaster.Operative Treatment.Other things being equal, operation is more often indicated in adults than in children, because after the age of twenty there is less prospect of recovery under conservative treatment, there is more tendency for the disease to relapse and to invade the internal organs, and there is no fear of interfering with the growth of the bones.The state of the general health may necessitate operation as the most rapid method of removing the disease.The social status of the patient must also be taken into account; the bread-winner, under existing social conditions, may be unable to give up his work for a sufficient time to give conservative measures a fair trial.The  local conditions  which decide for or against operation are differently regarded by different surgeons, but it may be said in general terms that operative interference is indicated in cases in which the disease continues to progress in spite of a fair trial of conservative measures; in cases unsuited for conservative treatment that is to say, where there are severe bone lesions.Operative interference is indicated also when the functional result will be better than that likely to be obtained by conservative measures, as is often the case in the knee and elbow.
