question|answer
describe: Ostitis Deformans Paget's Disease of Bone|Ostitis Deformans Paget's Disease of Bone.This rare disease was first described by Sir James Paget in 1877.In the early stages, the marrow is transformed into a vascular connective tissue; its bone-eating functions are exaggerated, and the framework of the bone becomes rarefied, so that it bends under pressure as in osteomalacia.In course of time, however, new bone is formed in great abundance; it is at first devoid of lime salts, but later becomes calcified, so that the bones regain their rigidity.This formation of new bone is much in excess of the normal, the bones become large and bulky, their surfaces rough and uneven, their texture sclerosed in parts, and the medullary canal is frequently obliterated.These changes are well brought out in X-ray photographs.
describe: Fragilitas Ossium|Osteogenesis Imperfecta ,  Fragilitas Ossium , or  Congenital Osteopsathyrosis .These terms are used to describe a condition in which an undue fragility of the bones dates from intra-uterine life.It may occur in several members of the same family.In severe cases, intra-uterine fractures occur, and during parturition fresh fractures are almost sure to be produced, so that at birth there is a combination of recent fractures and old fractures united and partly united, with bendings and thickenings of the bones.Large areas of the cranial vault may remain membranous.After birth the predisposition to fracture continues, the bones are easily broken, the fractures are attended with little or no pain, the crepitus is soft, and although union may take place, it may be delayed and be attended with excess of callus.
describe: Periosteal|"Periosteal tuberculosis  is met with in the ribs, sternum, vertebral column, skull, and less frequently in the long bones of the limbs.It may originate in the periosteum, or may spread thence from the marrow, or from synovial membrane.In superficial bones , such as the sternum, the formation of tuberculous granulation tissue in the deeper layer of the periosteum, and its subsequent caseation and liquefaction, is attended by the insidious development of a doughy swelling, which is not as a rule painful, although tender on pressure.While the swelling often remains quiescent for some time, it tends to increase in size, to become boggy or fluctuating, and to assume the characters of a cold abscess.The pus perforates the fibrous layer of the periosteum, invading and infecting the overlying soft parts, its spread being influenced by the anatomical arrangement of the tissues.The size of the abscess affords no indication of the extent of the bone lesion from which it originates.Periosteal tumours  are at first situated on one side of the bone, but as they grow they tend to surround it completely.Innocent periosteal tumours retain the outer fibrous layer as a capsule.Malignant tumours tend to perforate the periosteal capsule and invade the soft parts.Central  or  medullary tumours  as they increase in size replace the surrounding bone, and simultaneously new bone is formed on the surface; as this is in its turn absorbed, further bone is formed beneath the periosteum, so that in time the bone is increased in girth, and is said to be ""expanded"" by the growth in its interior.Primary Tumours Osteoma.When the tumour projects from the surface of a bone it is called an  exostosis ."
describe: Multiple Exostoses|Multiple Exostoses.This disease, which, by custom, is still placed in the category of tumours, is to be regarded as a disorder of growth, dating from intra-uterine life and probably due to a disturbance in the function of the glands of internal secretion, the thyreoid being the one which is most likely to be at fault (Arthur Keith).The disorder of growth is confined to those elements of the skeleton where a core of bone formed in cartilage comes to be encased in a sheath of bone formed beneath the periosteum.To indicate this abnormality the name  diaphysial aclasis  has been employed by Arthur Keith at the suggestion of Morley Roberts.Bones formed entirely in cartilage are exempt, namely, the tarsal and carpal bones, the epiphyses of the long bones, the sternum, and the bodies of the vertebra.Bones formed entirely in membrane, that is, those of the face and of the cranial vault, are also exempt.
describe: Morley Roberts|To indicate this abnormality the name  diaphysial aclasis  has been employed by Arthur Keith at the suggestion of Morley Roberts.Bones formed entirely in cartilage are exempt, namely, the tarsal and carpal bones, the epiphyses of the long bones, the sternum, and the bodies of the vertebra.Bones formed entirely in membrane, that is, those of the face and of the cranial vault, are also exempt.The disorder mainly affects the ossifying junctions of the long bones of the extremities, the vertebral border of the scapula, and the cristal border of the ilium.Clinically  the disease is attended with the gradual and painless development during childhood or adolescence of a number of tumours or irregular projections of bone, at the ends of the long bones, the vertebral border of the scapula, and the cristal border of the ilium.They exhibit a rough symmetry; they rarely attain any size; and they usually cease growing when the skeleton attains maturity the conversion of cartilage into bone being then completed.
describe: leontiasis ossea|This rare affection was described by Virchow, and named leontiasis ossea because of the disfigurement to which it gives rise.It usually commences in adolescence as a diffuse overgrowth first of one and then of both maxilla; these bones are enlarged in all directions and project on the face, and the nasal fossa and the maxillary and frontal sinuses become filled up with bone, which encroaches also on the orbital cavities.In addition to the hideous deformity, the patient suffers from blocking of the nose, loss of smell, and protrusion of the eyes, sometimes followed by loss of sight.The condition is liable to spread to the zygomatic and frontal bones, the vault of the skull, and to the mandible.The base of the skull is not affected.The disease is of slow progress and may become arrested; life may be prolonged for many years, or may be terminated by brain complications or by intercurrent affections.
describe: Bence-Jones|In the disease known as  multiple myeloma , the interior of the ribs, sternum, and bodies of the vertebra is occupied by a reddish gelatinous pulp, the structure of which resembles sarcoma; the bones are reduced to a mere shell, and may break on the slightest pressure; the urine contains albumose, a substance resembling albumen but coagulating at a comparatively low temperature (140° F.), and the coagulum is re-dissolved on boiling, and it is readily precipitated by hydrochloric acid (Bence-Jones).Ostitis Deformans Paget's Disease of Bone.This rare disease was first described by Sir James Paget in 1877.In the early stages, the marrow is transformed into a vascular connective tissue; its bone-eating functions are exaggerated, and the framework of the bone becomes rarefied, so that it bends under pressure as in osteomalacia.In course of time, however, new bone is formed in great abundance; it is at first devoid of lime salts, but later becomes calcified, so that the bones regain their rigidity.This formation of new bone is much in excess of the normal, the bones become large and bulky, their surfaces rough and uneven, their texture sclerosed in parts, and the medullary canal is frequently obliterated.The coexistence of diffuse myelomatosis of the skeleton and albumosuria (Bence-Jones) is referred to on p. 474.Myeloma occurs in the jaws, taking origin in the marrow or from the periosteum of the alveolar process, and is described elsewhere.Sarcoma  and  endothelioma  are the commonest tumours of bone, and present wide variations in structure and in clinical features.Structurally, two main groups may be differentiated: (1) the soft, rapidly growing cellular tumours, and (2) those containing fully formed fibrous tissue, cartilage, or bone.(1) The  soft cellular tumours  are composed mainly of spindle or round cells; they grow from the marrow of the spongy ends or from the periosteum of the long bones, the diploë of the skull, the pelvis, vertebra, and jaws.As they grow they may cause little alteration in the contour of the bone, but they eat away its framework and replace it, so that the continuity of the bone is maintained only by tumour tissue, and pathological fracture is a frequent result.
describe: Skiagraphy|"Skiagraphy is also of assistance in recognising the vessel involved.Tumours of the thyreoid, enlarged lymph glands, and fatty and sarcomatous tumours can usually be distinguished from aneurysm by the history of the swelling and by physical examination.Cystic tumours and abscesses in the neck are sometimes more difficult to differentiate on account of the apparently expansile character of the pulsation transmitted to them.The fact that compression of the vessel does not affect the size and tension of these fluid swellings is useful in distinguishing them from aneurysm.Treatment.Digital compression of the vessel against the transverse process of the sixth cervical vertebra the ""carotid tubercle"" has been successfully employed in the treatment of aneurysm near the bifurcation.Skiagraphy is not only of assistance in differentiating new growths from other diseases of bone, but may also yield information as to the situation and nature of the tumour, which may have important bearings on its treatment by operation.When fracture of a long bone takes place in an adolescent or young adult from comparatively slight violence, disease of the bone should be suspected and an X-ray examination made.In difficult cases the final appeal is to exploratory incision and microscopical examination of a portion of the tumour; this should be done when the major operation has been arranged for, the surgeon waiting until the examination is completed.The  prognosis  varies widely.In general, it may be said that periosteal tumours are less favourable than central ones, because they are more liable to give rise to metastases.Permanent cures are unfortunately the exception."
describe: Metastatic Tumours|Metastatic Tumours.Excepting certain cancers which give rise to metastases by lymphatic permeation (Handley), the common metastases arising in the bone-marrow reach their destination through the blood-stream.Secondary cancer is a comparatively common disease, and, as in metastases in other tissues, the secondary growths resemble the parent tumour.The soft forms grow rapidly, and eat away the bone, without altering its shape or form.In slowly growing forms there may be considerable formation of imperfectly formed bone, often deficient in lime salts; this condition may be widely diffused throughout the skeleton, and, as it is associated with softening and bending of the bones, it is known as  cancerous osteomalacia .Secondary cancer of bone is attended with pain, or it suddenly attracts notice by the occurrence of pathological fracture as, for example, in the shaft of the femur or humerus.
describe: Direct Extension from Soft Parts|Cancer of Bone resulting from Direct Extension from Soft Parts.In this group there are also two clinical types.The first is met with in relation to  epithelioma of a mucous surface  for example, the palate, tongue, gums, antrum, frontal sinus, auditory meatus, or middle ear.They will be described under these special regions.The second type is met with in relation to  epithelioma occurring in a sinus , the sequel of suppurative osteomyelitis, compound fracture, or tuberculous disease.The patient has usually had a discharging sinus for a great number of years: we have known it to last as many as fifty.
describe: Cysts of Bone|"Cysts of Bone.With the exception of hydatid cysts, cysts in the interior of bone are the result of the liquefaction of solid tissue; this may be that of chondroma, myeloma, or sarcoma, but more commonly of the marrow in osteomyelitis fibrosa.CHAPTER XXI DISEASES OF JOINTS

Definition of terms Ankylosis.DISEASES: Errors of     development Bacterial diseases:  Pyogenic ;  Gonorrhœal ;      Tuberculous ;  Syphilitic ;  Acute rheumatism  Diseases     associated with certain constitutional conditions:  Gout ;  Chronic     articular rheumatism ;  Arthritis deformans ;      Hamophilia  Diseases associated with affections of the nervous     system:  Neuro-arthropathies ;  Charcot's disease  Hysterical or     mimetic affections of joints Tumours and cysts Loose bodies.Definition of Terms.The term  synovitis  is applied to any reaction which affects the synovial membrane of a joint."
describe: Tuberculous|Tuberculous Lymphangitis.Although lymph vessels play an important rôle in the spread of tuberculosis, the clinical recognition of the disease in them is exceptional.The infection spreads upwards along the superficial lymphatics, which become nodularly thickened; at one or more points, larger, peri-lymphangitic nodules may form and break down into abscesses and ulcers; the nearest group of glands become infected at an early stage.When the disease is widely distributed throughout the lymphatics of the limb, it becomes swollen and hard a condition illustrated by lupus elephantiasis.Syphilitic lymphangitis  is observed in cases of primary syphilis, in which the vessels of the dorsum of the penis can be felt as indurated cords.In addition to acting as channels for the conveyance of bacterial infection,  lymph vessels frequently convey the cells of malignant tumours , and especially cancer, from the seat of the primary disease to the nearest lymph glands, and they may themselves become the seat of cancerous growth forming nodular cords.Tuberculous Disease of Glands.This is a disease of great frequency and importance.The tubercle bacilli usually gain access to the gland through the afferent lymph vessels, which convey them from some lesion of the surface within the area drained by them.Tuberculous infection may supervene in glands that are already enlarged as a result of chronic septic irritation.While any of the glands in the body may be affected, the disease is most often met with in the cervical groups which derive their lymph from the mouth, nose, throat, and ear.The appearance of the glands on section  varies with the stage of the disease.
describe: Syphilitic|Syphilitic ulcers may be met with in any part of the body, but are most frequent in the upper part of the leg (Fig.17), especially around the knee-joint in women, and over the ribs and sternum.On healing, they usually leave a depressed and adherent cicatrix.The  scorbutic ulcer  occurs in patients suffering from scurvy, and is characterised by its prominent granulations, which show a marked tendency to bleed, with the formation of clots, which dry and form a spongy crust on the surface.In  gouty  patients small ulcers which are exceedingly irritable and painful are liable to occur.Ulcers associated with Malignant Disease.Syphilitic lesions are liable to be mistaken for actinomycosis, all the more that in both diseases improvement follows the administration of iodides.When it affects the lower jaw, in its early stages, actinomycosis may closely simulate a periosteal sarcoma.The recognition of the fungus is the crucial point in diagnosis.Prognosis.Spontaneous cure rarely occurs.When the disease implicates internal organs, it is almost always fatal.
describe: Conditions of Impaired Mobility of Joints|Conditions of Impaired Mobility of Joints.There are four conditions of impaired mobility in joints: rigidity, contracture, ankylosis, and locking.Rigidity  is the fixation of a joint by involuntary contraction of muscles, and is of value as a sign of disease in deep-seated joints, such as the hip.It disappears under anasthesia.Contracture  is the term applied when the fixation is due to permanent shortening of the soft parts around a joint muscles, tendons, ligaments, fascia, or skin.As the structures on the flexor aspect are more liable to undergo such shortening, contracture is nearly always associated with flexion.
describe: Contracture|"DISEASES OF MUSCLE AND OF TENDONS:  Atrophy ;  ""Muscular     rheumatism""   Fibrositis ;  Contracture ;  Myositis ;      Calcification and Ossification ;  Tumours .DISEASES OF TENDON     SHEATHS:  Teno-synovitis .INJURIES  Contusion of Muscle.Contusion of muscle, which consists in bruising of its fibres and blood vessels, may be due to violence acting from without, as in a blow, a kick, or a fall; or from within, as by the displacement of bone in a fracture or dislocation.The symptoms are those common to all contusions, and the patient complains of severe pain on attempting to use the muscle, and maintains an attitude which relaxes it.If the sheath of the muscle also is torn, there is subcutaneous ecchymosis, and the accumulation of blood may result in the formation of a hamatoma.Contracture of Muscles.Permanent shortening of muscles results from the prolonged approximation of their points of attachment, or from structural changes in their substance produced by injury or by disease.It is a frequent accompaniment and sometimes a cause of deformities, in the treatment of which lengthening of the shortened muscles or their tendons may be an essential step.Myositis.Ischamic Myositis.Volkmann was the first to describe a form of myositis followed by contracture, resulting from interference with the arterial blood supply."
describe: skiagraphy|The nature and extent of ankylosis may be learned by skiagraphy; in osseous ankylosis the shadow of the two bones is a continuous one.In fibrous as contrasted with osseous ankylosis mobility may be elicited, although only to a limited extent; while in osseous ankylosis the joint is rigidly fixed, and attempts to move it are painless.The  treatment  is influenced by the nature of the original lesion, the variety of the ankylosis, and the attitude of the joint.When there is restriction of movement due to fibrous adhesions, these may be elongated or ruptured.Elongation of the adhesions may be effected by manipulations, exercises, and the use of special forms of apparatus such as the application of weights to the limb.It may be necessary to administer an anasthetic before rupturing strong fibrous adhesions, and this procedure must be carried out with caution, in view of such risks as fracture of the bone which is often rarefied or separation of an epiphysis.
describe: Arthroplasty|Arthroplasty.Murphy of Chicago devised this operation for restoring movement to an ankylosed joint.It consists in transplanting between the bones a flap of fat-bearing tissue, from which a bursal cavity lined with endothelium and containing a fluid rich in mucin is ultimately formed.Arthroplasty is most successful in ankylosis following upon injury; when the ankylosis results from some infective condition such as tuberculosis or gonorrhœa, it is liable to result in failure either because of a fresh outbreak of the infection or because the ankylosis recurs.When arthroplasty is impracticable, and a movable joint is desired for example at the elbow a considerable amount of bone, and it may be also of periosteum and capsular ligament, is resected to allow of the formation of a false joint.When bony ankylosis has occurred with the joint in an undesirable attitude for example flexion at the hip or knee it can sometimes be remedied by osteotomy or by a wedge-shaped resection of the bone, with or without such additional division of the contracted soft parts as will permit of the limb being placed in the attitude desired.Arthroplasty is most successful in ankylosis following upon injury; when the ankylosis results from some infective condition such as tuberculosis or gonorrhœa, it is liable to result in failure either because of a fresh outbreak of the infection or because the ankylosis recurs.When arthroplasty is impracticable, and a movable joint is desired for example at the elbow a considerable amount of bone, and it may be also of periosteum and capsular ligament, is resected to allow of the formation of a false joint.When bony ankylosis has occurred with the joint in an undesirable attitude for example flexion at the hip or knee it can sometimes be remedied by osteotomy or by a wedge-shaped resection of the bone, with or without such additional division of the contracted soft parts as will permit of the limb being placed in the attitude desired.Bony ankylosis of the joints of a finger, whether the result of injury or disease, is difficult to remedy by any operative procedure, for while it is possible to restore mobility, the new joint is apt to be flail-like.Locking.A joint is said to lock when its movements are abruptly arrested by the coming together of bony outgrowths around the joint.
describe: Extremities|The deformities at the knee (genu valgum, genu varum, and genu recurvatum), and at the hip (coxa vara), will be described in the volume dealing with the Extremities.The majority of cases seen in surgical practice suffer from the deformities resulting from rickets rather than from the active disease.The examination of a large series of children at different ages shows that the deformities become less and less frequent with each year.Those who recover may ultimately show no trace of rickets, and this is especially true of children who grow at the average rate; in those, however, in whom growth is retarded, especially from the fifth to the seventh year, the deformities are apt to be permanent.It may be noted that the scoliosis due to rickets has little tendency towards recovery.Treatment.The more important of these are described along with the surgery of the Extremities.DISEASES OF JOINTS  Bacterial Diseases.In most bacterial diseases the organisms are carried to the joint in the blood-stream, and they lodge either in the synovial membrane or in one of the bones, whence the disease subsequently spreads to the other structures of the joint.Organisms may also be introduced through accidental wounds.It has been shown experimentally that joints are among the most susceptible parts of the body to infection, and this would appear to be due to the viscid character of the synovial fluid, which protects organisms from bactericidal agents in the tissues and fluids.PYOGENIC DISEASES The commoner pyogenic diseases are the result of infection of one or other of the joint structures with  staphylococci  or  streptococci , which may be demonstrated in the exudate in the joint and in the substance of the synovial membrane.
describe: the pus perforates the joint capsule|If the pus perforates the joint capsule, there are signs of abscess or of diffuse suppuration in the cellular tissue.The final disorganisation of the joint is indicated by abnormal mobility and grating of the articular surfaces, or by spontaneous displacement of the bones, and this may amount to dislocation.In the acute arthritis of infants, the epiphysis concerned may be separated and displaced.When the  joint is infected through an external wound , the anatomical features are similar to those observed when the infection has reached the joint by the blood-stream, but the destructive changes tend to be more severe and are more likely to result in disorganisation.The  terminations  vary with the gravity of the infection and with the stage at which treatment is instituted.In the milder forms recovery is the rule, with more or less complete restoration of function.
describe: Pneumococcal|Pneumococcal affections of joints , the result of infection with the pneumococcus of Fraenkel, are being met with in increasing numbers.The local lesion varies from a  synovitis  with infiltration of the synovial membrane and effusion of serum or pus, to an  acute arthritis  with erosion of cartilage, caries of the articular surfaces, and disorganisation of the joint.The knee is most frequently affected, but several joints may suffer at the same time.In most cases the joint affection makes its appearance a few days after the commencement of a pneumonia, but in a number of instances, especially among children, the lung is not specially involved, and the condition is an indication of a generalised pneumococcal infection, which may manifest itself by endocarditis, empyema, meningitis, or peritonitis, and frequently has a fatal termination.The differential diagnosis from other forms of pyogenic infection is established by bacteriological examination of the fluid withdrawn from the joint.The treatment is carried out on the same lines as in other pyogenic infections, considerable reliance being placed on the use of autogenous vaccines.
describe: diplococcus|"The joint lesions which accompany  acute rheumatism  or ""rheumatic fever"" are believed to be due to a diplococcus.In the course of a general illness in which there is moderate pyrexia and profuse sweating, some of the larger joints, and not infrequently the smaller ones also, become swollen and extremely sensitive, so that the sufferer lies in bed helpless, dreading the slightest movement.From day to day fresh joints are attacked, while those first affected subside, often with great rapidity.Affections of the heart-valves and of the pericardium are commonly present.On recovery from the acute illness, it may be found that the joints have entirely recovered, but in a small proportion of cases certain of them remain stiff and pass into the crippled condition described under chronic rheumatism.There is no call for operative interference."
describe: Gonococcal Affections of Joints|Gonococcal Affections of Joints.These include all forms of joint lesion occurring in association with gonorrhœal urethritis, vulvo-vaginitis, or gonorrhœal ophthalmia.They may develop at any stage of the urethritis, but are most frequently met with from the eighteenth to the twenty-second day after the primary infection, when the organisms have reached the posterior urethra; they have been observed, however, after the discharge has ceased.There is no connection between the severity of the gonorrhœa and the incidence of joint disease.In women, the gonorrhœal nature of the discharge must be established by bacteriological examination.As a complication of ophthalmia, the joint lesions are met with in infants, and occur more commonly towards the end of the second or during the third week.
describe: gonorrhœal ophthalmia|These include all forms of joint lesion occurring in association with gonorrhœal urethritis, vulvo-vaginitis, or gonorrhœal ophthalmia.They may develop at any stage of the urethritis, but are most frequently met with from the eighteenth to the twenty-second day after the primary infection, when the organisms have reached the posterior urethra; they have been observed, however, after the discharge has ceased.There is no connection between the severity of the gonorrhœa and the incidence of joint disease.In women, the gonorrhœal nature of the discharge must be established by bacteriological examination.As a complication of ophthalmia, the joint lesions are met with in infants, and occur more commonly towards the end of the second or during the third week.The gonococcus is carried to the joint in the blood-stream and is first deposited in the synovial membrane, in the tissues of which it can usually be found; it may be impossible to find it in the exudate within the joint.
describe: Detoxicated|Detoxicated vaccines should be given from the first, and in afebrile cases the injection of a foreign protein, such as anti-typhoid vaccine, is beneficial (Harrison).Murphy has found benefit from the introduction into the joint, in the early stages, of from 5 to 15 c.c.of a 2 per cent.solution of formalin in glycerin.This may be repeated within a week, the patient being kept in bed with light weight extension.In the chronic hydrops the fluid is withdrawn, and about an ounce of a 1 per cent.
describe: The Contents of Tuberculous Joints|The Contents of Tuberculous Joints.In a large proportion of cases of synovial tuberculosis the joint is entirely filled up by the diffuse thickening of the synovial membrane.In a small number there is an abundant serous exudate, and with this there may be a considerable formation of fibrin, covering the surface of the membrane and floating in the fluid as flakes or masses; under the influence of movement it may assume the shape of melon-seed bodies.More rarely the joint contains pus, and the surface of the synovial membrane resembles the wall of a cold abscess.Ulceration and Necrosis of Cartilage.The synovial tissue covering the cartilage causes pitting and perforation of the cartilage and makes its way through it, and often spreads widely between it and the subjacent bone; the cartilage may be detached in portions of considerable size.
describe: Terminations|Terminations of Contusions.The usual termination is a complete return to the normal, some of the extravasated blood being organised, but most of it being reabsorbed.During the process characteristic alterations in the colour of the effused blood take place as a result of changes in the blood pigment.In from twenty-four to forty-eight hours the margins of the blue area become of a violet hue, and as time goes on the discoloured area increases in size, and becomes successively green, yellow, and lemon-coloured at its margins, the central part being the last to change.The rate at which this play of colours proceeds is so variable, and depends on so many circumstances, that no time-limits can be laid down.During the disintegration of the effused blood the adjacent lymph glands may become enlarged, and on dissection may be found to be pigmented.Terminations and Sequela.A natural process of cure may occur at any stage, the tuberculous tissue being replaced by scar tissue.Recovery is apt to be attended with impairment of movement due to adhesions, ankylosis, or contracture of the peri-articular structures.Caseous foci in the interior of the bones may become encapsulated, and a cure be thus effected, or they may be the cause of a relapse of the disease at a later date.Interference with growth is comparatively common, and may involve only the epiphysial junctions in the immediate vicinity of the joint affected, or those of all the bones of the limb.This is well seen in adults who have suffered from severe disease of the hip in childhood the entire limb, including the foot, being shorter and smaller than the corresponding parts of the opposite side.
describe: Clinical Variations of Tuberculous Joint Disease|Clinical Variations of Tuberculous Joint Disease.The above description applies to tuberculous joint disease in general; it must be modified to include special manifestations or varieties.When the main incidence of the infection affects the synovial membrane, the clinical picture may assume the form of a  hydrops , or of an  empyema  in which the joint is filled with pus.More common than either of these is the well-known  white swelling  or  tumor albus  (Wiseman, 1676) which is the clinical manifestation of diffuse thickening of the synovial membrane along with mucoid degeneration of the peri-synovial cellular tissue.It is well seen in joints which are superficial such as the knee, ankle, elbow, and wrist.The swelling, which is the first and most prominent clinical feature, develops gradually and painlessly, obliterating the bony prominences by filling up the natural hollows.
describe: Influence of Tuberculous Joint Disease|Influence of Tuberculous Joint Disease on the General Health.Experience shows that the early stages of tuberculous joint disease are compatible with the appearance of good health.As a rule, however, and especially if there is mixed infection, the health suffers, the appetite is impaired, the patient is easily tired, and there may be some loss of weight.Treatment.In addition to the general treatment of tuberculosis, local measures are employed.These may be described under two heads the conservative and the operative.
describe: the General Health|Influence of Tuberculous Joint Disease on the General Health.Experience shows that the early stages of tuberculous joint disease are compatible with the appearance of good health.As a rule, however, and especially if there is mixed infection, the health suffers, the appetite is impaired, the patient is easily tired, and there may be some loss of weight.Treatment.In addition to the general treatment of tuberculosis, local measures are employed.These may be described under two heads the conservative and the operative.
describe: Immobilisation|Immobilisation may be secured by bandages, splints, extension, or other apparatus.Extension  with weight and pulley is of value in securing rest, especially in disease of the hip or knee; it eliminates muscular spasm, relieves pain and startings at night, and prevents abnormal attitudes of the limb.If, when the patient first comes under observation, the limb is in a deformed attitude which does not readily yield to extension, the deformity should be corrected under an anasthetic.The induction of hyperamia  is often helpful, the rubber bandage or the hot-air chamber being employed for an hour or so morning and evening.Injection of Iodoform.This is carried out on the same lines as have been described for tuberculous abscess.
describe: Operative Treatment|Operative Treatment.In aggravated cases, when the patient is suffering pain, when his occupation is interfered with by repeated attacks of phlebitis, or when there are large pouches on the veins, operative treatment is called for.The younger the patient the clearer is the indication to operate.It may be necessary to operate to enable a patient to enter one of the public services, even although no symptoms are present.The presence of an ulcer does not contra-indicate operation; the ulcer should be excised, and the raw surface covered with skin grafts, before dealing with the veins.The  operation of Trendelenburg  is especially appropriate to cases in which the trunk of the great saphena vein in the thigh is alone involved.Operative Treatment.This consists in the removal of the affected nerve or nerves, either by resection  neurectomy ; or by a combination of resection with twisting or tearing of the nerve from its central connections  avulsion .To prevent the regeneration of the nerve after these operations, the canal of exit through the bone should be obliterated; this is best accomplished by a silver screw-nail driven home by an ordinary screw-driver (Charles H. Mayo).When the neuralgia involves branches of two or of all three trunks, or when it has recurred after temporary relief following resection of individual branches, the  removal of the semilunar ganglion , along with the main trunks of the maxillary and mandibular divisions, should be considered.The operation is a difficult and serious one, but the results are satisfactory so far as the cure of the neuralgia is concerned.There is little or no disability from the unilateral paralysis of the muscles of mastication; but on account of the insensitiveness of the cornea, the eye must be protected from irritation, especially during the first month or two after the operation; this may be done by fixing a large watch-glass around the edge of the orbit with adhesive plaster.
describe: the formation of gummata|In the  tertiary stage  the joint lesions are persistent and destructive, and result from the formation of gummata, either in the deeper layers of the synovial membrane or in the adjacent bone or periosteum.Peri-synovial  and  peri-bursal gummata  are met with in relation to the knee-joint of middle-aged adults, especially women.They are usually multiple, develop slowly, and are rarely sensitive or painful.One or more of the gummata may break down and give rise to tertiary ulcers.The co-existence of indolent swellings, ulcers, and depressed scars in the vicinity of the knee is characteristic of tertiary syphilis.The disease spreads throughout the capsule and synovial membrane, which becomes diffusely thickened and infiltrated with granulation tissue which eats into and replaces the articular cartilage.
describe: gummata  are|Peri-synovial  and  peri-bursal gummata  are met with in relation to the knee-joint of middle-aged adults, especially women.They are usually multiple, develop slowly, and are rarely sensitive or painful.One or more of the gummata may break down and give rise to tertiary ulcers.The co-existence of indolent swellings, ulcers, and depressed scars in the vicinity of the knee is characteristic of tertiary syphilis.The disease spreads throughout the capsule and synovial membrane, which becomes diffusely thickened and infiltrated with granulation tissue which eats into and replaces the articular cartilage.Clinically, the condition resembles tuberculous disease of the synovial membrane, for which it is probably frequently mistaken, but in the syphilitic affection the swelling is nodular and uneven, and the subjective symptoms are slight, mobility is little impaired, and yet the deformity is considerable.
describe: Rheumatoid Arthritis|"Arthritis Deformans  ( Osteo-arthritis, Rheumatoid Arthritis, Rheumatic Gout, Malum Senile, Traumatic or Mechanical Arthritis ).Under the term arthritis deformans, which was first employed by Virchow, it is convenient to include a number of joint affections which have many anatomical and clinical features in common.The disease is widely distributed in the animal kingdom, both in domestic species and in wild animals in the natural state such as the larger carnivora and the gorilla; evidence of it has also been found in the bones of animals buried with prehistoric man.The morbid changes in the joints present a remarkable combination of atrophy and degeneration on the one hand and overgrowth on the other, indicating a profound disturbance of nutrition in the joint structures.The nature of this disturbance and its etiology are imperfectly known.By many writers it is believed to depend upon some form of auto-intoxication, the toxins being absorbed from the gastro-intestinal tract, and those who suffer are supposed to possess what has been called an ""arthritic diathesis."""
describe: gonorrhœal|It would appear that the most marked changes take place in the submucous tissue, causing the covering epithelium in places to die and leave small superficial ulcers, for example in gonorrhœal urethritis, the cicatricial contraction of the scar subsequently leading to the formation of stricture.When mucous glands are present in the membrane, the pus is mixed with mucus  muco-pus .DIFFUSE CELLULITIS AND DIFFUSE SUPPURATION Cellulitis is an acute affection resulting from the introduction of some organism commonly the  streptococcus pyogenes  into the cellular connective tissue of the integument, intermuscular septa, tendon sheaths, or other structures.Infection always takes place through a breach of the surface, although this may be superficial and insignificant, such as a pin-prick, a scratch, or a crack under a nail, and the wound may have been healed for some time before the inflammation becomes manifest.The cellulitis, also, may develop at some distance from the seat of inoculation, the organisms having travelled by the lymphatics.The virulence of the organisms, the loose, open nature of the tissues in which they develop, and the free lymphatic circulation by means of which they are spread, account for the diffuse nature of the process.A  gonorrhœal  form of myositis is sometimes met with; it is painful, but rarely goes on to suppuration.In the early secondary period of  syphilis , the muscles may be the seat of dull, aching, nocturnal pains, especially in the neck and back.Syphilitic contracture  is a condition which has been observed chiefly in the later secondary period; the biceps of the arm and the hamstrings in the thigh are the muscles more commonly affected.The striking feature is a gradually increasing difficulty of extending the limb at the elbow or knee, and progressive flexion of the joint.The affected muscle is larger and firmer than normal, and its electric excitability is diminished.In tertiary syphilis, individual muscles may become the seat of interstitial myositis or of gummata, and these affections readily yield to anti-syphilitic remedies.
describe: Hypertrophied|Hypertrophied Scars.Scars occasionally broaden out and become prominent, and on exposed parts this may prove a source of disappointment after operations such as those for goitre or tuberculous glands in the neck.There is sometimes considerable improvement from exposure to the X-rays.Keloid.This term is applied to an overgrowth of scar tissue which extends beyond the area of the original wound, and the name is derived from the fact that this extension occurs in the form of radiating processes, suggesting the claws of a crab.It is essentially a fibroma or new growth of fibrous tissue, which commences in relation to the walls of the smaller blood vessels; the bundles of fibrous tissue are for the most part parallel with the surface, and the epidermis is tightly stretched over them.Hypertrophied fringes and pedunculated or loose bodies  often co-exist with hydrops, and give rise to characteristic clinical features, particularly in the knee.The fringes, especially when they assume the type of the arborescent lipoma, project into the cavity of the joint, filling up its recesses and distending its capsule so that the joint is swollen and slightly flexed.Pain is not a prominent feature, and the patient may walk fairly well.On grasping the joint while it is being actively flexed and extended, the fringes may be felt moving under the fingers.Symptoms from impaction of a loose body are exceptional.The dry form of arthritis deformans , although specially common in the knee, is met with in other joints, either as a mon-articular or poly-articular disease; and it is also met with in the joints of the spine and of the fingers as well as in the temporo-mandibular joint.
